job_id,num_resume,predict_id,ndcg@1,ndcg@3,ndcg@5,ndcg@7,ndcg@10,ndcg@20,ndcg@50
5032,897,67,0,0,0,0,0,0,0
5033,897,128,0,0,0,0,0,0,0
5034,897,65,0,0,0,0,0,0,0
5035,897,291,0,0,0,0,0,0,0
5036,897,212,0,0,0,0,0,0,0
5037,897,248,0,0,0,0,0,0,0
5038,897,127,0,0,0,0,0,0,0
5039,897,141,0,0,0,0,0,0,0
5040,897,115,0,0,0,0,0,0,0
5041,897,393,0,0,0,0,0,0,0
5042,897,12,0,0,0,0,0,0.27023815442731974,0.27023815442731974
5043,897,85,0,0,0,0,0,0,0
5044,897,616,0,0,0,0,0,0,0
5045,897,208,0,0,0,0,0,0,0
5046,897,134,0,0,0,0,0,0,0
5047,897,228,0,0,0,0,0,0,0
5048,897,184,0,0,0,0,0,0,0
5049,897,82,0,0,0,0,0,0,0
5050,897,234,0,0,0,0,0,0,0
5052,897,407,0,0,0,0,0,0,0
5053,897,229,0,0,0,0,0,0,0
5054,897,89,0,0,0,0,0,0,0
5055,897,425,0,0,0,0,0,0,0
5056,897,228,0,0,0,0,0,0,0
5057,897,83,0,0,0,0,0,0,0
5058,897,106,0,0,0,0,0,0,0
5060,897,16,0,0,0,0,0,0.24465054211822604,0.24465054211822604
5061,897,197,0,0,0,0,0,0,0
5062,897,111,0,0,0,0,0,0,0
5063,897,72,0,0,0,0,0,0,0
5064,897,223,0,0,0,0,0,0,0
5065,897,226,0,0,0,0,0,0,0
5066,897,227,0,0,0,0,0,0,0
5067,897,639,0,0,0,0,0,0,0
5069,897,157,0,0,0,0,0,0,0
5071,897,20,0,0,0,0,0,0.227670248696953,0.227670248696953
5073,897,154,0,0,0,0,0,0,0
5075,897,479,0,0,0,0,0,0,0
5076,897,377,0,0,0,0,0,0,0
5077,897,131,0,0,0,0,0,0,0
5079,897,123,0,0,0,0,0,0,0
5081,897,313,0,0,0,0,0,0,0
5082,897,115,0,0,0,0,0,0,0
5083,897,177,0,0,0,0,0,0,0
5084,897,261,0,0,0,0,0,0,0
5085,897,168,0,0,0,0,0,0,0
5086,897,99,0,0,0,0,0,0,0
5087,897,51,0,0,0,0,0,0,0
5088,897,76,0,0,0,0,0,0,0
5089,897,123,0,0,0,0,0,0,0
5090,897,143,0,0,0,0,0,0,0
5091,897,33,0,0,0,0,0,0,0.1965616322328226
5092,897,522,0,0,0,0,0,0,0
5093,897,409,0,0,0,0,0,0,0
5094,897,111,0,0,0,0,0,0,0
5095,897,19,0,0,0,0,0,0.23137821315975915,0.23137821315975915
5096,897,588,0,0,0,0,0,0,0
5097,897,145,0,0,0,0,0,0,0
5098,897,20,0,0,0,0,0,0.227670248696953,0.227670248696953
5099,897,233,0,0,0,0,0,0,0
5100,897,30,0,0,0,0,0,0,0.20184908658209985
5101,897,16,0,0,0,0,0,0.24465054211822604,0.24465054211822604
5102,897,3,0,0.5,0.5,0.5,0.5,0.5,0.5
5103,897,201,0,0,0,0,0,0,0
5104,897,195,0,0,0,0,0,0,0
5105,897,35,0,0,0,0,0,0,0.19342640361727081
5106,897,297,0,0,0,0,0,0,0
5107,897,285,0,0,0,0,0,0,0
5108,897,45,0,0,0,0,0,0,0.1810425967800402
5109,897,2,0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
5110,897,37,0,0,0,0,0,0,0.1905514124267734
5111,897,8,0,0,0,0,0.31546487678572877,0.31546487678572877,0.31546487678572877
5112,897,119,0,0,0,0,0,0,0
5113,897,282,0,0,0,0,0,0,0
5114,897,125,0,0,0,0,0,0,0
5115,897,23,0,0,0,0,0,0,0.21810429198553155
5116,897,13,0,0,0,0,0,0.26264953503719357,0.26264953503719357
5117,897,276,0,0,0,0,0,0,0
5118,897,457,0,0,0,0,0,0,0
